index,ticker,name,cik
149,D,Dominion Energy,0000715957
150,DPZ,Domino's,0001286681
151,DASH,DoorDash,0001792789
152,DOV,Dover Corporation,0000029905
153,DOW,Dow Inc.,0001751788
154,DHI,D. R. Horton,0000882184
155,DTE,DTE Energy,0000936340
156,DUK,Duke Energy,0001326160
157,DD,DuPont,0001666700
158,ETN,Eaton Corporation,0001551182
159,EBAY,eBay Inc.,0001065088
160,ECL,Ecolab,0000031462
161,EIX,Edison International,0000827052
162,EW,Edwards Lifesciences,0001099800
163,EA,Electronic Arts,0000712515
164,ELV,Elevance Health,0001156039
165,EME,Emcor,0000105634
166,EMR,Emerson Electric,0000032604
167,ETR,Entergy,0000065984
168,EOG,EOG Resources,0000821189
169,EPAM,EPAM Systems,0001352010
170,EQT,EQT Corporation,0000033213
171,EFX,Equifax,0000033185
172,EQIX,Equinix,0001101239
173,EQR,Equity Residential,0000906107
174,ERIE,Erie Indemnity,0000922621
175,ESS,Essex Property Trust,0000920522
176,EL,Estée Lauder Companies (The),0001001250
177,EG,Everest Group,0001095073
178,EVRG,Evergy,0001711269
179,ES,Eversource Energy,0000072741
180,EXC,Exelon,0001109357
181,EXE,Expand Energy,0000895126
182,EXPE,Expedia Group,0001324424
183,EXPD,Expeditors International,0000746515
184,EXR,Extra Space Storage,0001289490
185,XOM,ExxonMobil,0000034088
186,FFIV,"F5, Inc.",0001048695
187,FDS,FactSet,0001013237
188,FICO,Fair Isaac,0000814547
189,FAST,Fastenal,0000815556
190,FRT,Federal Realty Investment Trust,0000034903
191,FDX,FedEx,0001048911
192,FIS,Fidelity National Information Services,0001136893
193,FITB,Fifth Third Bancorp,0000035527
194,FSLR,First Solar,0001274494
195,FE,FirstEnergy,0001031296
196,FISV,Fiserv,0000798354
197,F,Ford Motor Company,0000037996
198,FTNT,Fortinet,0001262039
199,FTV,Fortive,0001659166
200,FOXA,Fox Corporation (Class A),0001754301
201,FOX,Fox Corporation (Class B),0001754301
202,BEN,Franklin Resources,0000038777
203,FCX,Freeport-McMoRan,0000831259
204,GRMN,Garmin,0001121788
205,IT,Gartner,0000749251
206,GE,GE Aerospace,0000040545
207,GEHC,GE HealthCare,0001932393
208,GEV,GE Vernova,0001996810
209,GEN,Gen Digital,0000849399
210,GNRC,Generac,0001474735
211,GD,General Dynamics,0000040533
212,GIS,General Mills,0000040704
213,GM,General Motors,0001467858
214,GPC,Genuine Parts Company,0000040987
215,GILD,Gilead Sciences,0000882095
216,GPN,Global Payments,0001123360
217,GL,Globe Life,0000320335
218,GDDY,GoDaddy,0001609711
219,GS,Goldman Sachs,0000886982
220,HAL,Halliburton,0000045012
221,HIG,Hartford (The),0000874766
222,HAS,Hasbro,0000046080
223,HCA,HCA Healthcare,0000860730
224,DOC,Healthpeak Properties,0000765880
225,HSIC,Henry Schein,0001000228
226,HSY,Hershey Company (The),0000047111
227,HPE,Hewlett Packard Enterprise,0001645590
228,HLT,Hilton Worldwide,0001585689
229,HOLX,Hologic,0000859737
230,HD,Home Depot (The),0000354950
231,HON,Honeywell,0000773840
232,HRL,Hormel Foods,0000048465
233,HST,Host Hotels & Resorts,0001070750
234,HWM,Howmet Aerospace,0000004281
235,HPQ,HP Inc.,0000047217
236,HUBB,Hubbell Incorporated,0000048898
237,HUM,Humana,0000049071
238,HBAN,Huntington Bancshares,0000049196
239,HII,Huntington Ingalls Industries,0001501585
240,IBM,IBM,0000051143
241,IEX,IDEX Corporation,0000832101
242,IDXX,Idexx Laboratories,0000874716
243,ITW,Illinois Tool Works,0000049826
244,INCY,Incyte,0000879169
245,IR,Ingersoll Rand,0001699150
246,PODD,Insulet Corporation,0001145197
247,INTC,Intel,0000050863
248,IBKR,Interactive Brokers,0001381197
249,ICE,Intercontinental Exchange,0001571949
250,IFF,International Flavors & Fragrances,0000051253
251,IP,International Paper,0000051434
252,INTU,Intuit,0000896878
253,ISRG,Intuitive Surgical,0001035267
254,IVZ,Invesco,0000914208
255,INVH,Invitation Homes,0001687229
256,IQV,IQVIA,0001478242
257,IRM,Iron Mountain,0001020569
258,JBHT,J.B. Hunt,0000728535
259,JBL,Jabil,0000898293
260,JKHY,Jack Henry & Associates,0000779152
261,J,Jacobs Solutions,0000052988
262,JNJ,Johnson & Johnson,0000200406
263,JCI,Johnson Controls,0000833444
264,JPM,JPMorgan Chase,0000019617
265,K,Kellanova,0000055067
266,KVUE,Kenvue,0001944048
267,KDP,Keurig Dr Pepper,0001418135
268,KEY,KeyCorp,0000091576
269,KEYS,Keysight Technologies,0001601046
270,KMB,Kimberly-Clark,0000055785
271,KIM,Kimco Realty,0000879101
272,KMI,Kinder Morgan,0001506307
273,KKR,KKR & Co.,0001404912
274,KLAC,KLA Corporation,0000319201
275,KHC,Kraft Heinz,0001637459
276,KR,Kroger,0000056873
277,LHX,L3Harris,0000202058
278,LH,Labcorp,0000920148
279,LRCX,Lam Research,0000707549
280,LW,Lamb Weston,0001679273
281,LVS,Las Vegas Sands,0001300514
282,LDOS,Leidos,0001336920
283,LEN,Lennar,0000920760
284,LII,Lennox International,0001069202
285,LLY,Lilly (Eli),0000059478
286,LIN,Linde plc,0001707925
287,LYV,Live Nation Entertainment,0001335258
288,LKQ,LKQ Corporation,0001065696
289,LMT,Lockheed Martin,0000936468
290,L,Loews Corporation,0000060086
291,LOW,Lowe's,0000060667
292,LULU,Lululemon Athletica,0001397187
293,LYB,LyondellBasell,0001489393
294,MTB,M&T Bank,0000036270
295,MPC,Marathon Petroleum,0001510295
296,MAR,Marriott International,0001048286
297,MMC,Marsh McLennan,0000062709
298,MLM,Martin Marietta Materials,0000916076
299,MAS,Masco,0000062996
300,MA,Mastercard,0001141391
301,MTCH,Match Group,0000891103
302,MKC,McCormick & Company,0000063754
303,MCD,McDonald's,0000063908
304,MCK,McKesson Corporation,0000927653
305,MDT,Medtronic,0001613103
306,MRK,Merck & Co.,0000310158
307,META,Meta Platforms,0001326801
308,MET,MetLife,0001099219
309,MTD,Mettler Toledo,0001037646
310,MGM,MGM Resorts,0000789570
311,MCHP,Microchip Technology,0000827054
312,MU,Micron Technology,0000723125
313,MSFT,Microsoft,0000789019
314,MAA,Mid-America Apartment Communities,0000912595
315,MRNA,Moderna,0001682852
316,MHK,Mohawk Industries,0000851968
317,MOH,Molina Healthcare,0001179929
318,TAP,Molson Coors Beverage Company,0000024545
319,MDLZ,Mondelez International,0001103982
320,MPWR,Monolithic Power Systems,0001280452
321,MNST,Monster Beverage,0000865752
322,MCO,Moody's Corporation,0001059556
323,MS,Morgan Stanley,0000895421
324,MOS,Mosaic Company (The),0001285785
325,MSI,Motorola Solutions,0000068505
326,MSCI,MSCI Inc.,0001408198
327,NDAQ,"Nasdaq, Inc.",0001120193
328,NTAP,NetApp,0001002047
329,NFLX,Netflix,0001065280
330,NEM,Newmont,0001164727
331,NWSA,News Corp (Class A),0001564708
332,NWS,News Corp (Class B),0001564708
333,NEE,NextEra Energy,0000753308
334,NKE,"Nike, Inc.",0000320187
335,NI,NiSource,0001111711
336,NDSN,Nordson Corporation,0000072331
337,NSC,Norfolk Southern,0000702165
338,NTRS,Northern Trust,0000073124
339,NOC,Northrop Grumman,0001133421
340,NCLH,Norwegian Cruise Line Holdings,0001513761
341,NRG,NRG Energy,0001013871
342,NUE,Nucor,0000073309
343,NVDA,Nvidia,0001045810
344,NVR,"NVR, Inc.",0000906163
345,NXPI,NXP Semiconductors,0001413447
346,ORLY,O’Reilly Automotive,0000898173
347,OXY,Occidental Petroleum,0000797468
348,ODFL,Old Dominion,0000878927
349,OMC,Omnicom Group,0000029989
350,ON,ON Semiconductor,0001097864
351,OKE,Oneok,0001039684
352,ORCL,Oracle Corporation,0001341439
353,OTIS,Otis Worldwide,0001781335
354,PCAR,Paccar,0000075362
355,PKG,Packaging Corporation of America,0000075677
356,PLTR,Palantir Technologies,0001321655
357,PANW,Palo Alto Networks,0001327567
358,PSKY,Paramount Skydance Corporation,0002041610
359,PH,Parker Hannifin,0000076334
360,PAYX,Paychex,0000723531
361,PAYC,Paycom,0001590955
362,PYPL,PayPal,0001633917
363,PNR,Pentair,0000077360
364,PEP,PepsiCo,0000077476
365,PFE,Pfizer,0000078003
366,PCG,PG&E Corporation,0001004980
367,PM,Philip Morris International,0001413329
368,PSX,Phillips 66,0001534701
369,PNW,Pinnacle West Capital,0000764622
370,PNC,PNC Financial Services,0000713676
371,POOL,Pool Corporation,0000945841
372,PPG,PPG Industries,0000079879
373,PPL,PPL Corporation,0000922224
374,PFG,Principal Financial Group,0001126328
375,PG,Procter & Gamble,0000080424
376,PGR,Progressive Corporation,0000080661
377,PLD,Prologis,0001045609
378,PRU,Prudential Financial,0001137774
379,PEG,Public Service Enterprise Group,0000788784
380,PTC,PTC Inc.,0000857005
381,PSA,Public Storage,0001393311
382,PHM,PulteGroup,0000822416
383,PWR,Quanta Services,0001050915
384,QCOM,Qualcomm,0000804328
385,DGX,Quest Diagnostics,0001022079
386,Q,Qnity Electronics,0002058873
387,RL,Ralph Lauren Corporation,0001037038
388,RJF,Raymond James Financial,0000720005
389,RTX,RTX Corporation,0000101829
390,O,Realty Income,0000726728
391,REG,Regency Centers,0000910606
392,REGN,Regeneron Pharmaceuticals,0000872589
393,RF,Regions Financial Corporation,0001281761
394,RSG,Republic Services,0001060391
395,RMD,ResMed,0000943819
396,RVTY,Revvity,0000031791
397,HOOD,Robinhood Markets,0001783879
398,ROK,Rockwell Automation,0001024478
399,ROL,"Rollins, Inc.",0000084839
400,ROP,Roper Technologies,0000882835
401,ROST,Ross Stores,0000745732
402,RCL,Royal Caribbean Group,0000884887
403,SPGI,S&P Global,0000064040
404,CRM,Salesforce,0001108524
405,SBAC,SBA Communications,0001034054
406,SLB,Schlumberger,0000087347
407,STX,Seagate Technology,0001137789
408,SRE,Sempra,0001032208
409,NOW,ServiceNow,0001373715
410,SHW,Sherwin-Williams,0000089800
411,SPG,Simon Property Group,0001063761
412,SWKS,Skyworks Solutions,0000004127
413,SJM,J.M. Smucker Company (The),0000091419
414,SW,Smurfit Westrock,0002005951
415,SNA,Snap-on,0000091440
416,SOLS,Solstice Advanced Materials,0002064953
417,SOLV,Solventum,0001964738
418,SO,Southern Company,0000092122
419,LUV,Southwest Airlines,0000092380
420,SWK,Stanley Black & Decker,0000093556
421,SBUX,Starbucks,0000829224
422,STT,State Street Corporation,0000093751
423,STLD,Steel Dynamics,0001022671
424,STE,Steris,0001757898
425,SYK,Stryker Corporation,0000310764
426,SMCI,Supermicro,0001375365
427,SYF,Synchrony Financial,0001601712
428,SNPS,Synopsys,0000883241
429,SYY,Sysco,0000096021
430,TMUS,T-Mobile US,0001283699
431,TROW,T. Rowe Price,0001113169
432,TTWO,Take-Two Interactive,0000946581
433,TPR,"Tapestry, Inc.",0001116132
434,TRGP,Targa Resources,0001389170
435,TGT,Target Corporation,0000027419
436,TEL,TE Connectivity,0001385157
437,TDY,Teledyne Technologies,0001094285
438,TER,Teradyne,0000097210
439,TSLA,"Tesla, Inc.",0001318605
440,TXN,Texas Instruments,0000097476
441,TPL,Texas Pacific Land Corporation,0001811074
442,TXT,Textron,0000217346
443,TMO,Thermo Fisher Scientific,0000097745
444,TJX,TJX Companies,0000109198
445,TKO,TKO Group Holdings,0001973266
446,TTD,Trade Desk (The),0001671933
447,TSCO,Tractor Supply,0000916365
448,TT,Trane Technologies,0001466258
449,TDG,TransDigm Group,0001260221
450,TRV,Travelers Companies (The),0000086312
451,TRMB,Trimble Inc.,0000864749
452,TFC,Truist Financial,0000092230
453,TYL,Tyler Technologies,0000860731
454,TSN,Tyson Foods,0000100493
455,USB,U.S. Bancorp,0000036104
456,UBER,Uber,0001543151
457,UDR,"UDR, Inc.",0000074208
458,ULTA,Ulta Beauty,0001403568
459,UNP,Union Pacific Corporation,0000100885
460,UAL,United Airlines Holdings,0000100517
461,UPS,United Parcel Service,0001090727
462,URI,United Rentals,0001067701
463,UNH,UnitedHealth Group,0000731766
464,UHS,Universal Health Services,0000352915
465,VLO,Valero Energy,0001035002
466,VTR,Ventas,0000740260
467,VLTO,Veralto,0001967680
468,VRSN,Verisign,0001014473
469,VRSK,Verisk Analytics,0001442145
470,VZ,Verizon,0000732712
471,VRTX,Vertex Pharmaceuticals,0000875320
472,VTRS,Viatris,0001792044
473,VICI,Vici Properties,0001705696
474,V,Visa Inc.,0001403161
475,VST,Vistra Corp.,0001692819
476,VMC,Vulcan Materials Company,0001396009
477,WRB,W. R. Berkley Corporation,0000011544
478,GWW,W. W. Grainger,0000277135
479,WAB,Wabtec,0000943452
480,WMT,Walmart,0000104169
481,DIS,Walt Disney Company (The),0001744489
482,WBD,Warner Bros. Discovery,0001437107
483,WM,Waste Management,0000823768
484,WAT,Waters Corporation,0001000697
485,WEC,WEC Energy Group,0000783325
486,WFC,Wells Fargo,0000072971
487,WELL,Welltower,0000766704
488,WST,West Pharmaceutical Services,0000105770
489,WDC,Western Digital,0000106040
490,WY,Weyerhaeuser,0000106535
491,WSM,"Williams-Sonoma, Inc.",0000719955
492,WMB,Williams Companies,0000107263
493,WTW,Willis Towers Watson,0001140536
494,WDAY,"Workday, Inc.",0001327811
495,WYNN,Wynn Resorts,0001174922
496,XEL,Xcel Energy,0000072903
497,XYL,Xylem Inc.,0001524472
498,YUM,Yum! Brands,0001041061
499,ZBRA,Zebra Technologies,0000877212
500,ZBH,Zimmer Biomet,0001136869
501,ZTS,Zoetis,0001555280
